deno;0.01%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:15
node;129.99%;0.26%;82.02MiB / 31.18GiB;228MB / 1.17GB;0B / 4.1kB;23 ;21:26:15
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:15
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:18
node;129.26%;0.26%;82.45MiB / 31.18GiB;229MB / 1.18GB;0B / 4.1kB;23 ;21:26:18
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:18
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:21
node;127.19%;0.26%;82.64MiB / 31.18GiB;231MB / 1.18GB;0B / 4.1kB;23 ;21:26:21
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:21
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:24
node;130.95%;0.26%;83.94MiB / 31.18GiB;232MB / 1.19GB;0B / 4.1kB;23 ;21:26:24
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:24
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:27
node;133.95%;0.26%;82.12MiB / 31.18GiB;233MB / 1.2GB;0B / 4.1kB;23 ;21:26:27
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:27
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:30
node;133.35%;0.26%;82.25MiB / 31.18GiB;235MB / 1.2GB;0B / 4.1kB;23 ;21:26:30
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:30
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:33
node;128.04%;0.26%;82.18MiB / 31.18GiB;236MB / 1.21GB;0B / 4.1kB;23 ;21:26:33
bun;0.01%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:33
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:36
node;128.61%;0.26%;82.62MiB / 31.18GiB;237MB / 1.21GB;0B / 4.1kB;23 ;21:26:36
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:36
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:39
node;127.94%;0.26%;81.8MiB / 31.18GiB;238MB / 1.22GB;0B / 4.1kB;23 ;21:26:39
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:39
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:42
node;127.87%;0.26%;82.06MiB / 31.18GiB;240MB / 1.22GB;0B / 4.1kB;23 ;21:26:42
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:42
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:45
node;129.62%;0.26%;82.07MiB / 31.18GiB;241MB / 1.23GB;0B / 4.1kB;23 ;21:26:45
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:45
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:48
node;127.09%;0.26%;82.42MiB / 31.18GiB;242MB / 1.23GB;0B / 4.1kB;23 ;21:26:48
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:48
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:51
node;121.15%;0.26%;84.05MiB / 31.18GiB;244MB / 1.25GB;0B / 4.1kB;23 ;21:26:51
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:51
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:54
node;120.06%;0.26%;83.69MiB / 31.18GiB;246MB / 1.26GB;0B / 4.1kB;23 ;21:26:54
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:54
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:26:57
node;122.87%;0.26%;82.91MiB / 31.18GiB;248MB / 1.28GB;0B / 4.1kB;23 ;21:26:57
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:26:57
deno;0.00%;0.37%;119.2MiB / 31.18GiB;491MB / 2.37GB;0B / 176kB;9 ;21:27:00
node;119.15%;0.26%;83.84MiB / 31.18GiB;250MB / 1.29GB;0B / 4.1kB;23 ;21:27:00
bun;0.00%;1.11%;353.3MiB / 31.18GiB;644MB / 3.53GB;0B / 0B;13 ;21:27:00
