gifted_nobel;141.13%;0.72%;229.1MiB;31.18GiB;565MB;3.36GB;0B;0B;21;21:03:28
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:31
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:31
gifted_nobel;138.48%;0.74%;236.7MiB;31.18GiB;569MB;3.37GB;0B;0B;21;21:03:31
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:34
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:34
gifted_nobel;142.25%;0.75%;240.5MiB;31.18GiB;572MB;3.37GB;0B;0B;21;21:03:34
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:38
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:38
gifted_nobel;143.93%;0.78%;248MiB;31.18GiB;576MB;3.38GB;0B;0B;21;21:03:38
deno;0.00%;0.13%;42.8MiB;31.18GiB;24.6kB;5.34kB;0B;176kB;9;21:03:41
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:41
gifted_nobel;137.66%;0.80%;254MiB;31.18GiB;580MB;3.39GB;0B;0B;21;21:03:41
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.2kB;5.34kB;0B;176kB;9;21:03:44
node;0.01%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:44
gifted_nobel;140.14%;0.81%;257.7MiB;31.18GiB;582MB;3.4GB;0B;0B;21;21:03:44
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:03:47
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:47
gifted_nobel;146.45%;0.83%;265.4MiB;31.18GiB;587MB;3.41GB;0B;0B;21;21:03:47
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:03:50
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:50
gifted_nobel;145.85%;0.84%;269MiB;31.18GiB;590MB;3.41GB;0B;0B;21;21:03:50
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:03:53
node;0.00%;0.14%;45.99MiB;31.18GiB;191MB;1.01GB;0B;4.1kB;23;21:03:53
gifted_nobel;142.59%;0.86%;275.8MiB;31.18GiB;593MB;3.42GB;0B;0B;21;21:03:53
deno;0.00%;0.13%;42.8MiB;31.18GiB;25.4kB;5.34kB;0B;176kB;9;21:03:56
